ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
405,أم سويد,نوع من أنواع الطيور,نوع من أنواع الطيور ،لايؤكل لحمه.
406,سبر,بدأ,أي بدأ ،وباسبر سوف أبداء.
407,السوم,حزام طيني,وهو حزام طيني ،يصد الماء الذي كسر حدته جسر الصخور )الصك( ،ويدفعه باتجاه الساقية ،وهو من الطين حتى يتمكنوا من هدمه عند الحاجة ،يكون ملتوي لأجل التخفيف من ضغط الماء ،وطينها يتكوم على جانبيها .
408,سبار,ما يقدم للماشية من علف بشكل منتظم ويومي,ما يقدم للماشية من علف بشكل منتظم ويومي ،والمثل القائل ):سبار قضب(.
409,السرامي,جزمات من جلد الغنم مصبوغة بالأحمر,جزمات من جلد الغنم مصبوغة بالأحمر ،تشبه تلك الأحذية الموصوفة في ملابس العرب القدامى.
410,سبق,نظام الأولية,وهي نظام الأولية ،ونظام الطابور في الصفوف.
411,سفيح,وعاء لشرب الماشية,وعاء لشرب الماشية.
412,الساني,امش مستقيم,المستقيم ،يقال):امش ساني(،بمعنى امش مستقيم.
413,الساس,أساس البيت من الحجار أو من المدر أوكلاهما معا,أساس البيت من الحجار أو من المدر أوكلاهما معاً ،وهو يكبس بالطين والحجار ،ويكون ارتفاعه متر إلى متر ونصف ،ونقول):من ساسه إلى رأسه(:للاستغراق، وفي المثل):من لا له ساس ماله راس(.
414,السلح,نموذج من الساس الغائط,)نموذج من الساس( الغائط.
415,السباعية,نسيج محلي مزهلق,نسيج محلي مزهلق ،هو أزار للرجل دون أن يخيطونه دائريا ،مفتوح ويسمى بلهجة أخرى معوز.
416,السده,الباب الكبير المزخرف,الباب الكبير الذي يغلق على المدينة والقصر الكبير والبيت ونحوه ،وغالباً ما يكون مميز ومزخرف. )نموذج من السده(
417,السره,موضع تخزين الأعلاف القصب,بتشديد السين المكسورة ،وهو موضع تخزين الأعلاف ) القصب (.
418,السيب,الماد أو الممر بين الغرف,الماد أو الممر بين الغرف.
419,سدوا,اتفقوا,اتفقوا.
420,الساقيه,قناة أخدودية كثيرة الالتواءات,وهي قناة أخدودية كثيرة الالتواءات ،عملت لري الأراضي ،وكسر حدة السيل واندفاعه.
421,الساف,التمر اليابس الرديء,التمر اليابس الرديء .
422,سفطه,المزاح,المزاح.
423,السبيه,طريقة بناء ووضع المدرة بالطول,هي طريقة بناء ووضع المدرة بالطول ،وغالبا ما تكون في الأدوار العلياء من البناء.
424,السناوة,عملية رفع الماء من الآبار,عملية طلوع الماء من الآبار بواسطة الإنسان أو الحيوان أو كليهما لغرض الزراعة والمثل القائل):إيش عرفك يالحيك بالسناوه( ويقول الشاعر: البعد أنت لاتسبر خليك عاسبرك انت ذكي تسمع وتبصر وانك غبي بصرك الوقت خلا كل باير
425,سليمود,يسني على بيرين,يسني على بيرين. البطَّانيه ،وهو لحاف مصنوع من الصوف ،يستخدم في فصل الشتاء للتدفئة .
426,استوعدوا,حدد موعد العرس,حدد موعد العرس.
427,سارية,عمود دائري من الخشب,وهي عمود دائري من الخشب ،يرفع به السقف يضع في كل غرف الدور الأرضي تبعا لحاجة مساحة الغرفة وتكثر في المساجد . )نموذج من السارية(
428,السبخة,الأرض التي ا نسبة عالية من الملوحة,الأرض التي ا نسبة عالية من الملوحة .
429,الأسبال,مشاهدة نزول الأمطار من بعيد حين,مشاهدة نزول الأمطار من بعيد حين ،فتبدو كخيوط متلاصقة.
430,سروال الهنقس,سروال الكلسون أو سروال اللوكس,هو سروال الكلسون أو سروال اللوكس ،وهو السروال الداخلي القطني الضيق من طقم الفنيلة القطنية.
431,السله,زفة العروسة بالغناء والطبول,زف النساء بالغناء والطبول والزغاريد من بيت أهلها إلى بيت العريس .
432,نوع جيد من التمر ،وفي الأبيات يقال,سريعي,سِريعي ..يامحسن تعاطيله ..عيني عليه
433,الستره,سريعي,سريعي ..بسرح له وبضوي له ..عيني عليه جمعها ستر ،وهي الجدار والمثل القائل) :البياض في الستر(.
434,السنكر,سكر,سكّر.
435,السنكر لحمر,سكر البنجر,سكّر البنجر.
436,حسوح,أرضية منحدرة صلبة,الس أو السحيحة أو السحيليل ،عبارة عن أرضية صلبة على شكل منحدر ،تكون في أماكن جريان الماء ،وممكن تكون في المطبخ.
437,سته,الأستاذة أو المعلمة,الأستاذة أو المعلمة.
438,سقل,الأطفال أو العيال الصغار ،ومفرده سقلة,الأطفال أو العيال الصغار ،ومفرده سقلة.
439,السلب,الجزمات,الجزمات .
440,الساقيه,مجرى الماء,مجرى الماء .
441,سنقوف,منقار,منقار.
442,السرية,ليلة زف العريس لعروسته,ليلة زف العريس لعروسته.
443,سبول,السنابل,السنابل.
444,المسخن,مكون من قاعدتان بينهما فراغ للجمر,وهو مكون من قاعدتان بينهما فراغ للجمر ،و يوضع عليهما القدر الكبير .
445,السقاية,عبارة عن بناء على شكل قبة صغيرة يتم ملأها بالماء,عبارة عن بناء على شكل قبة صغيرة يتم ملأها بالماء ،حيث تكون سبيلا للمارة ،وتبنى كصدقه للمارة.
446,السقيفة والسقائف,أبنية صغيرة كالشاليهات,أبنية صغيرة كالشاليهات ،وغالبا ما تتكون من غرفة واحدة ومطبخ واحد وبقربه حمام ،وحولها وصر ،وتكون على تلال ) الجروب ( التي يشرف عليها ساكن السقيفة ،فيجمعون الغلال في وصرها أو فيها .ويسكنون ا مؤقتا حال مجي السيول ،ليقوموا بمتطلبات الزراعة الموسمية ويمكثون حتى الحصاد .
447,هي البنادق قال الشاعر,البنادق القديمة,سلَب أخوتي دقلات الشحن *** علمانية وتركية تغالى بالثمن
448,السف,بناء محوط بجدار رقيق أو قصير مسقوف,بناء محوط بجدار رقيق أو قصير مسقوف ،يوضع به الحطب أو )الصخر( الفحم.
449,السفيفه,عقد كبير من الفضة يمكن وضعه على الراسو يسم,هو عقد كبير من الفضة يمكن وضعه على الراسو يسمى محمل أو الحلق. )نموذج من السفيفه(
450,السالفه,العاده,العاده. :السِف . يوضع على رأس البير لوقوف التراح عليه، وهو لوح من خشب الحمر
451,الشمه,القبله,بمعنى القُبله ،والمثل القائل) :إن حبيت ولدك شمُّه وهو نيم(.
452,شلوا,حملوا,أي حملوا ،والمثل القائل):أربعة شلوا الجمل والجمل ما شلُّهم(.
453,شمله,الكساء الغليظ,الكساء الغليظ ،والمثل القائل):بوزيد معروف بشمله(.
454,شتار,إعوجاج,إعوجاج.
455,الشباك,الأعواد التي تصنع من الخشب,الأعواد التي تصنع من الخشب ،مربوطة مع بعضها البعض على شكل بساط ، يتم تعليقها على ) الخلاف ( النوافذ لغرض الستر من الكشف.
456,شط,إلتفت,بمعنى إلتفت ،يقال):شطْ قِداه( أي التفت إليه ،والمثل القائل ):لو باتحلب البقْرة شطْ قدا وجهها(.
457,الشمسة,عبارة عن فتحه دائرة الشكل تقع في سطح البيوت,عبارة عن فتحه دائرة الشكل تقع في سطح البيوت ،وهي أيضاً تسمى بالمناور.
458,الشول,وعاء مصنوعة من جلد الماعز,وعاء مصنوعة من جلد الماعز ،تملأ بالماء ) ماء الشرب ( ،وتعلق أمام النافذة لتبرد بسرعة وتحفظه بارداً .
459,الشربيعة,عبارة عن سلم خشبي,عبارة عن سلم خشبي ،يوجد عادة في أركان الريوم )السطوح( ،ويتم الارتقاء عليه لبلوغ.
460,شقب,نحس - مشؤوم,نحس. المَشاريِف. لهج.
461,شنق,أحول العينين,أحول العينين.
462,شيذر,أزار للرجل دون أن يخيطونه دائريا,أزار للرجل دون أن يخيطونه دائريا ،مفتوح والرفق بينه وبين السباعية أو )المعوز( كثرة الزهلقة التي فيه .
463,شبر,المسافة القصوى بين طرفي الإام والخنصر حوالي,وهي المسافة القصوى بين طرفي الإام والخنصر حوالي ٢٤سم.
464,الشيتة,ثوب يميل لونه إلى السواد,ثوب يميل لونه إلى السواد ،ونقشته دقلة ،تلبسه كبيرات السن .
465,شطر,نصف مكيال - وحدة وزن,مقياس وزن معروف يساوي نصف مصرى أو نصف مكيال من الطعام ، والمثل القائل):إذا بينك وبين الفقر شطر طيره(.
466,الشخط,أعواد الثقاب أو الكبريت,أعواد الثقاب أو ) الكبريت ( .
467,الشبرم,أوراق شجرة تعطي الأكل نكهة رائعة,أوراق شجرة تعطي الأكل نكهة رائعة ،تسمى الكزبرة عند البعض .
468,الشرح,نوع من الرقصات الحضرمية,نوع من الرقصات الحضرمية .
469,الشخر,الحطب ذو الشوك الكثيف,الحطب ذو الشوك الكثيف.
470,شوي,قليلا,قليلاً .
471,الشحرة,في الجبل يترل منها السيل,في الجبل يترل منها السيل .
472,الشال,من الصوف ويلبسونه في الشتاء غالبا,من الصوف ويلبسونه في الشتاء غالبا.
473,الشراشر,بطيخ بحجم صغير جدا,بطيخ بحجم صغير جدا .
474,الشلنق,عشرة بمثابة عشرة ريالات الآن,عشرة بمثابة عشرة ريالات الآن ،وهي عبارة عن عشر عانات ،والعانه عملة نحاسية كانت في جنوب اليمن قبل الوحدة.
475,منخاش,عود من الخشب ينخشون به ضروسهم من اللحم,عود من الخشب ينخشون به ضروسهم من اللحم.
476,المشعبة,سلم خشبي,سلم خشبي .
477,الشلحة,تنورة المرأة الداخلية,هي تنورة المرأة الداخلية ،تكون من الأكتاف حتى اسفل الركبة.
478,الشبر,وحدات للقياس,وحدات للقياس
479,شزر,وحدات للقياس,وحدات للقياس.
480,الشوى,بطنه توجعه,البطن ،ويقال):شواه توجعه( أي بطنه توجعه ،والمثل القائل):إذا شبعت غط شواك( أي بطنك.
481,الشميز,القميص للرجل,القميص للرجل.
482,الشمراخ,ما يكون به التمر,وهو ما يكون به التمر ،يكون في الخيل والخيل مقسم إلى شماريخ.
483,شب,أوقد النار,شب النار )جعلها موقده(.
484,شاف,رأى,بمعنى رأى.
485,شعق,الخرق أو التمزيق,الخرق أو التمزيق.
486,الصباطه,معالجة النورة بعد إخراجها,تجرى للنورة بعد استخراجها من الكير ،وذلك لغرض تداخلها وكسبها أكثر نعومة وبياضا .
487,شنه,عبارة عن وعاء حافظ للماء,عبارة عن وعاء حافظ للماء ،ومصنع من جلد الحيوان عندما يكون فارغ. )نموذج من الشنه(
488,الشارح,فلاح النخل المتخصص,فلاح مزارع يهتم بالنخل من تفخيط وإعالة ،وتصريفها وتركيبها وتقنيمها وتقطيعها ،وهذه عمليات الاهتمام بالنخلة وجنيها وحصادها ،كل هذه من مهمات الشارح.
489,الشقى,الأجر,الأجر.
490,الصلول,ألم أو وجع عادة ما يصيب المفاصل والجنوب,ألم أو وجع عادة ما يصيب المفاصل والجنوب.
491,الصميل,العصى الغليظة,العصى الغليظة.
492,الصليق,الزغاريد,الزغاريد.
493,الصنبعة,مزلاج خشبي للأبواب,عبارة عن مزلاج خشبي ،يستخدم لوصد الأبواب ،تغلق ا الأبواب من الداخل.
494,الصبيان,خدم إعداد العرسان,مصطلح يطلق على من هو من طبقة تقوم بوظيفة إعداد وتجهيز العرسان وخدمتهم.
495,صني,ال يستخدم لسد الخلاف والأبواب في فصل الشتاء,ال يستخدم لسد )الخلاف( والأبواب في فصل الشتاء ،للوقاية من البرد والحول دون دخول الهواء البارد ،وعادة ما يكون على شكل بساط مصنوع من )سعف النخيل(.
496,الصفافة,نقل متاع العروسة لبيتها,حمل متاع المرأة من بيت أهلها إلى بيتها الجديد قبل الزواج ،ليتم وضعه وترصيفه.
497,الصني,ما يستخدم لطعم السمكة في سنارة الاصطياد,ما يستخدم لطعم السمكة في سنارة الاصطياد.
498,الصوير,الأطرش,الأطرش .
499,الصمار,إناء قاس مصنوع من الجلد له فم واحد,وهو إناء قاس مصنوع من الجلد له فم واحد ،ويستخدم لحفظ العسل والزيت ،يقال):فلان صمار عسل( ) ،النخر مثل الصمار(.
500,صاع,وزن قياس معروف,وزن قياس معروف.
501,الصقع,الأطرش,الأطرش.
502,الصبحة,صباحية ليلة العرس,صباحية ليلة العرس.
503,الصرابة,حصاده وقطع السبول,المرأة تعمل في صراب البر ،أي حصاده وقطع السبول.
504,صبر البئر,حافة البئر,حافة البئر .
505,الصارون,الفوطة الرجالية أو الإزار,الفوطة الرجالية أو الإزار ،لكنه مخيط دائريا وهي لفظه أصلها أندنوسي )سارون( ونادراً ما تجد صارون يشبه صارون آخر ترسم عليها مربعات مع الألوان.
506,الصديرية,لصغار السن من البنات قبل أن تنهد صدورهن,لصغار السن من البنات قبل أن تنهد صدورهن.
507,الصار- الصاره,ثمار نوع من النخيل,ثمار نوع من النخيل ،هي جوزة قاسية لها قشرة حلوة ولب داخلي ابيض وقاس يؤكل ،يشبه جوز الهند وهو اصغر منه كثيرا ،وسعف نخله مفروش كالكف شبيه جدا بما يسمى نخل واشنطن.
508,الصيم,نوع من أنواع التمر,نوع من أنواع التمر.
509,صكه,غبي لا يفهم,بمعنى أهبل أو لا يفهم.
510,صفاف,الصرصار,الصرصار.
511,صك,حاجز مبني بالصخر المرصوف و النورة والرماد,حاجز مبني بالصخر المرصوف و النورة والرماد ،وهو عبارة عن جسر متدرج من حزام صخري تتخلله ظفائر سميكة من الصخر كالقلاع تزيده قوة ومنعة
512,الصخيريه,أصغر من طائر العول يسهل إمساكه,أصغر من طائر العول يسهل إمساكه.
513,الصمبرة,الحمص,الحمص .
514,صهدود,وجمعها صهاديد,وجمعها صهاديد ،وهي كسور الزجاج.
515,السخر,الفحم,الفحم .
516,الصرك,الشارع المسفلت,الشارع المسفْلت.
517,صفاط,المزح,المزح .
518,صمصوم,طيب ومؤدب تطلق للي يسمع الكلام,طيب ومؤدب تطلق للي يسمع الكلام.
519,الصر,فتحة السرة في الإنسان,فتحة السرة في الإنسان.
520,صه,اسكت أو اسكتوا,اسكت أو اسكتوا .
521,الصيب,الذريه,الذريه.
522,أصابع زينب,تمر خرفته حلوة,تمر خرفته حلوة.
523,الصالي,الأجير في عمل الزراعة,الأجير في عمل الزراعة.
524,الضبره,زاوية الغرفة,زاوية الغرفة.
525,ضويلة,شجرة من شجر البراري تأتي أعوادها رخوة,شجرة من شجر البراري تأتي أعوادها رخوة.
526,الضيقة,الباب الخارجي للبيت أو مدخل الدهليز المؤدي,وهو الباب الخارجي للبيت أو مدخل الدهليز المؤدي إلى الدار ،يقال في المثل):إذا دخلت الضيقة طلعت الرقاد(. )نموذج من الضيقة(
527,الضيفة,وليمة كبيرة,وليمة كبيرة ،تكون عشاء في الغالب بعد العقد والحراوة.
528,ضوى,الرجوع أو الإياب,رجع ،ومضوى بمعنى الرجوع أو الإياب.
529,الضعون والضاعنات,نخبة مختارة من نساء أهل العروسة,نخبة مختارة من نساء أهل العروسة ،يتم استضافتهم في يوم الصبحة .
530,الضدح,من الورقيات من أخوات الملوخية والسبانخ,من الورقيات من أخوات الملوخية والسبانخ.
531,الضحى,وجبة الغذاء,وجبة الغذاء.
532,الضمير,بناء بالحجر الهائل,وهو بناء بالحجر الهائل ،وعادة يكون في الأودية الرئيسية للتحكم بإدخال كميات المياه القادمة من الشعاب.
533,ضيون,أنثى القط,وهي أنثى القط )العري(.
534,الطهارة,الحمام أو الخلاء في اللغة العربية الفصحى,الحمام أو الخلاء في اللغة العربية الفصحى.
535,الطعم,الأكل,بضم الطاء ،ويعني الأكل ،والمثل القائل):ما ينفع الطُعم تحت العقبة(
536,الطفل,بتشديد الطاء وفتح الفاء,بتشديد الطاء وفتح الفاء ،قطعة من الطين تستخدم لأغراض الاستنجاء من النجاستين المخففة والمغلظة ،وهي ناعمة وأحياناً يغطى ا الحب )البر(.
537,طلاب,المتسول أو السائل أو المسكين,أي المتسول أو السائل أو المسكين.
538,الطيرمة,الطابق الأخير في الدار الذي لا يوجد فيها ا,هي الطابق الأخير في الدار الذي لا يوجد فيها الجبو ،وتسمى راس البيت.
539,الطمس,عبارة عن منفذ له باب,عبارة عن منفذ له باب ،يصل بين الريم والمرواح .
540,الط رشه,الزيارة,الزيارة .
541,الطارش,الضيف الزائر,الضيف الزائر.
542,الطس أو الطست,القدر أو وعاء نحاسي يستخدم للطهي,القدر أو وعاء نحاسي يستخدم للطهي .
543,الطش,بدايات سقوط المطر,بدايات سقوط المطر.
544,الطحس,الزلق,الزلق ،ويطْحس بمعنى يترلق ،والمثل القائل ):البعير يطْحس في شِبر(.
545,طست النحاس,وعاء نحاسي يستخدم لطهي العصيد والشربه,وهو وعاء نحاسي يستخدم لطهي العصيد والشربه . )نموذج من طست النحاس(
546,الطرح,تبرعات و مساهمة الأقارب والمعازيم في دعم العريس ماديا,تبرعات و مساهمة الأقارب والمعازيم في دعم العريس ماديا ،حيث يضع كل شخص ما تجود به نفسه في مظروف مغلق ،وأكثر ما يكون في حفلة العرس وما تسمى )بالمخدرة( حيث يخصص أغنية خاصة لعملية الطرح والمثل القائل : ) الحبلْ بالرمح والعرس بالطَّرح(.
547,الطوحي,عمود من الخشب يوضع فوق البئر لوضع العجلة,وهو عمود من الخشب يوضع فوق البئر لوضع العجلة عليه.
548,الطبيله,وعاء للطبخ,وعاء للطبخ .
549,الطاهب,جمعه طهب,جمعه طهب ،السحاب المائل لونه إلى الأبيض وفيه قليل من السواد وفيه إشارات البرق حيث تتراكم السحب والغيوم الكثيفة وتكون كالجبال العالية.
550,طنب,ممتلئ,ممتلئ ،يقال الجرب مطنب والساقية مطنبة أي ممتلئة.
551,الطاقة,رف محفور في أصل الجدار,عبارة عن رف محفور في اصل الجدار على شكل مربع لغرض الزينة أو لوضع الأشياء .
552,الطلع,نبات النخيل قبل التلقيح,وهو نبات النخيل قبل التلقيح ،وبداية ظهور العذق المختوم وحتى بعد انفتاقه وتفتحه ،وهي لفظة فصيحة .
553,الطار,الدف كبيره وصغيره,الدف كبيره وصغيره ،وجمعها ) الطيران ( بكسر الطاء .
554,طقع,كذب,كذ ب ،وفلان طقَّاع تعني فلان كذاب.
555,الطبين,وتطلق على صاحب المال والتجارة,وتطلق على صاحب المال والتجارة ،والذي يعمل لديه الآخرون ،وفي الأصل هو من لديه نخل ويعمل لديه الناس فهو طبينهم.
556,ال ظله,أول زيارة للعروس لبيت أهلها بعد الزواج,هي أول زيارة للعروس لبيت أهلها بعد الزواج٠
557,ال ظفره,بناء بالحجر حول جدران البئر لحمايتها من ال,وهو بناء بالحجر حول جدران البئر لحمايتها من الايار.
558,ظبعة,يقال ظبعة من خبز,يقال ظُبعة من خبز .
559,ظرطه,الظراط,وهو الظراط .
560,العيف,الغير محبب أو الوسخ,وهو الغير محبب أو الوسخ ،ولهجة أهل الغيل والشحر تنطق بالعوف والمثل القائل):العيف عيف حتى يوم العيد(.
561,العكضة,المحصول الثاني من نفس البذور,المحصول الثاني من نفس البذور.
562,عور,بتشديد الواو ،وهي الإصابة بالأذى,بتشديد الواو ،وهي الإصابة بالأذى .
563,عواد,المعايدة,المعايدة
564,العصبي,دكة أو مرتفع واسع خارج البيت,دكَّة أو مرتفع واسع خارج البيت.
565,العجرة,عظم دومة السدر,عظم دومة السدر.
566,عرب,أصلح وجهز,بتشديد الياء ،بمعنى أصلح أو جهز أو أحضر.
567,العشرق,نبات بري,نبات بري ،تحدث ثماره خشخشة وقرقشة إذا هبت الريح ،وهو نوعين )عشرق بافقير( هو الذي له فقره ،و)عشرة بامليسة( وهو الذي لايحتوي على فقره وهو أملس السطح.
568,العفاشه,ما اعتكينا باتقع عمبكيكه,ما اعتكينا باتقع عمبكيكه. الرعونة وعدم التعقل.
569,العداله,ضمانة لحل الخلافات,عبارة عن ضمانة تقدم للحلول في حل الاختلافات ،يقدمها الطرف المطلوب للطالب منه ،وتوضع بيد جهة محايدة حتى يتم حل الإشكالية ،ومن ثم تعود لأصحاا ،وتكون ذات قيمة مجزية والعدالة قديماً كانت بالبندقية والخنجر وحديثاً بالسيارات والساعات وغيرها من الأشياء الحديثة.
570,العماري,الدولاب أو الكبت يثبت ضمن الجدار,الدولاب أو الكبت يثبت ضمن الجدار.
571,العقبه,الراحه,الراحه .
572,عارض,بداية الأمطار الآتية,بداية الأمطار الآتية.
573,عفاشه,عربدة,أي عربدة.
574,العشر,نبات بري,نبات بري ، تحتوي سيقانه وأوراقه على سائل ابيض ،يستخدم في دبغ الجلود ، ويصنع منه العريش لأنه خفيف.
575,العروس,جدار يقام في وسط الحصن يرتكز عليه المبنى,جدار يقام في وسط الحصن يرتكز عليه المبنى.
576,العامل,الذي يساعد في تجهيز ومناولة مواد البناء,الذي يساعد في تجهيز ومناولة مواد البناء ،إما نقل الحجر أو تجهيز النورة حسب مهام كل عامل .
577,العلب,شجرة السدر,شجرة السدر.
578,علوى,الناحية الغربية من وادي حضرموت,الناحية الغربية من وادي حضرموت.
579,العسعش,اسم النخيل الكثيفة التي تنشأ أصلا من ذات نفسها,اسم النخيل الكثيفة التي تنشأ أصلاً من ذات نفسها ،أسفل جذوع النخلة.
580,العمامة,الغترة,الغترة .
581,العيده,سمك صغير,سمك صغير.
582,العكرة,عبارة عن فتحة صغيرة لغرض التهوية والإنارة,عبارة عن فتحة صغيرة لغرض التهوية والإنارة ،تسمح بدخول ضوء الشمس تكون في )الريم(السطح في ركن البيت.
583,العشوة,وتسمى أيضا في المناطق الغربية لحضرموت البيت,وتسمى أيضاً في المناطق الغربية لحضرموت ) البيت ( ،هو الحفل الذي يقام للعروسة في بيت الزوج ،وتظهر بزينتها أمام الناس وتشارك في الزفين.
584,العفاش,من أوصاف السيول,من أوصاف السيول.
585,العجم,نوى التمر,نوى التمر ،يقال أول النخلة عجمة ،والمثل القائل):الترباه تعقيد عجم(.
586,العقد,كتب الكتاب أو عقد القرآن,كتب الكتاب أو عقد القرآن.
587,عجرة أو عيره,بذرة السدر,بذرة السدر.
588,العفر,تجهيز موسم زراعة البر أو الذرة ونحو ذلك,تجهيز موسم زراعة البر أو الذرة ونحو ذلك.
589,العدي,الفلوس أو النقود,الفلوس أو النقود .
590,المثمر,العذق كله,العذق كله ،ويسمى كذلك بعد جفافه ،ويستخدم في كنس الشوارع .
591,عنكر,عرقل,عرقل ،وعنكَره عرقله ،ويعنكِر يعرقل ،يقول الشاعر: وإن جِيت باعنكِر رجيله ما مع لكْشف رجِيل .
592,العرقدي,تمر حلو المذاق وقشرته رقيقة,تمر حلو المذاق وقشرته رقيقة .
593,العلياء,الهبوب أو النسمات العليلة التي ب عقب المطر,الهبوب أو النسمات العليلة التي ب عقب المطر.
594,العوامل,الجمال العاملة في الزراعة,الجِمال التي تقوم بجر المحاريث لزراعة الأرض المروية بالسيل.
595,عروق النخلة,جذورها,جذورها
596,عدة الشاهي,العدة التي تستعمل في عمل شاهي البخاري,وهي العدة التي تستعمل في عمل شاهي البخاري. )نموذج من عدة الشاهي(
597,العانة,عملة نحاسية قليلة القيمة,عملة نحاسية قليلة القيمة ،كانت في جنوب اليمن قبل الوحدة ،من مشتقات القرش )العانة ،الباولة ،البيسة ،الأردي(.
598,العطفة,الشارع الملتوي أو اللفة,الشارع الملتوي أو ) اللفة (.
599,العضاد,وجمعها عضدة,وجمعها عضدة ،بضم العين والضاد ،وهب أسوار من الفضة أومن الحديد ، يضعه الرجل في زنده في أعلى الساعد ،شبيهه بالحجل وأكبر منه وزناً.
600,العلجوم,النوى,وهو النوى.
601,عفندش,نوع من أنواع الطيور,نوع من أنواع الطيور.
602,العري,القط الذكر,القط الذكر ،والأنثى عريه ،والراء مشددة. العشور هو الجمارك ،فكلمة عشرت تعني جمركت.
603,عنفيطه,آله موسيقية تخرج صوت عن طريق النفخ فيها,آله موسيقية تخرج صوت عن طريق النفخ فيها .
604,العتم,قناة الري وسط الزرع,قناة الري وسط الزرع.
605,العيزا,الحداة الخطفة,الحداة )الخطفة( ،ويطلقون الاسم على الصقور وعلى النسور كذلك.
606,العقال,العقال المعروف,هو العقال المعروف ،وكان يلبسه بدو حضرموت ثم انقرض.
607,الع طبي,روب المرأة الغليظ,روب المرأة الغليظ.
608,عاد,الوعيد والتهديد,بمعنى الوعيد والتهديد ،كقول الشاعر: عادنا باادخل الواسط اذا االله قدر**بااعصب اربعميه من قوم عفتر وعفتور
609,العول,يشبه من الحمام,يشبه من الحمام ،كثير الإحساس والوجاس من الناس يطير مسافات طويلة.
610,جله,عجلة خشبية للزانة,الع وهي اداة من الخشب على شكل دائري توضع عليها الزانه المعروفه
611,عادك,لا تزال,بمعنى لا تزال ،كقول الشاعر: عادك إلاّ صغير ياعشدلي عالقنامة
612,العوالة,مصطلح كالمزارعة والمتاجرة,مصطلح كالمزارعة والمتاجرة ،وتعني أن نخلا لشخص لا يرغب في القيام عليه أو لا يستطيع بسبب سفر أو عجز أو غنى ... الخ ،فيقوم آخرون برعاية النخل وحصاده بدون توكيل ،حتى إذا لم يسبق تعيين وكيل محدد لان النخل يثمر كل حول ،ولابد ممن يحفظ هذا المال ،وله نصيبه وترسل حصة المالك .
613,العكر,فتحات تهوية في الدور الأول,فتحات ضيقة للتهوية و الإنارة في الدور الأول من المنازل ،لا يستطيع الآدمي الولوج منها ومفردها عكْرة .
614,عا,على,تستعمل بمعنى على ،مثلاً نقول):مشينا عا كل جبل( دلالة على استمرارية.
615,عاده,لا يزال بعيدا,بمعنى أن الأمر لا زال بعيدا. يقول الشاعر: دار الفلك قال السباعي عاخبثين العمل**وتكبروا ما حاسبين الوقت عاده بايدور ثَاكِيلالع .ما يتدلى من الأغصان
616,غوطل,حالة اختلاط الضباب والسحاب والمطر,حالة اختلاط الضباب والسحاب والمطر.
617,الغدره,الظلام أو الليل الأسود,الظلام أو الليل الأسود.
618,غبش,سار فجرا,بمعنى سار فجراً ،وغُبش أي قُم وسِر فجراً ،وغبشه وهي وقت الفجر قبل طلوع الضوء.
619,الغبه,المسافة البعيدة عن الشاطئ في أعماق البحر,المسافة البعيدة عن الشاطئ في أعماق البحر ،يقول الشاعر: حد في الطرف واقف ومن عدى**يشوف غصه داخل الغبه الغزيرة.
620,الغياض,أودية تكثر فيها المياه والنخيل,مصطلح يطلق على الأودية التي تكثر فيها المياه المتدفقة والمزروعات والأشجار المثمرة والنخيل.
621,الغريسه,القديمة,القديمة.
622,الغلق,أو المرفاع,أو )المرفَاع( ،حبل يستعمل لفتح الباب بالشد عليه من داخل البيت.
623,الغلغلة,عمق الماء والغرق فيه,عمق الماء والغرق فيه.
624,الغلب,جمع أغلاب أو غلوب,جمع أغْلاَب أو غلوب ،وهي غرفة أعلى الحصن في السطح دف التحصين الأخير .
625,الغرة والغرر,تنقيط ماء المطر من السقف,تنقيط ماء المطر من السقف .
626,الغشب,قشاش السيل زبده وغثاؤه,قشاش السيل زبده وغثاؤه.
627,الغيلة,المطبخ,المطبخ ،أو عبارة عن غرفة تكون في بعض البيوت في الضيقة أو عند السطوح ،وهي تستخدم لأغراض التخزين أو للحطب .
628,غذق,لون السحاب الممطر الأسود,لون السحاب الممطر الأسود.
629,الغسة,أوراق النبق الدوم,أوراق النبق )الدوم( ،بعد تجفيفها وطحنها ،تستعمل لغسل الشعر من قبل النساء يقال في المثل ):إنفْشِي وغُسي والتعب منسِي(.
630,الغرب,الدلو الكبير,الدلو الكبير .
631,الغاسي,البلح قبل نضوجه,البلح قبل نضوجه ،ويكون مخضر اللون في بداية نضوجه.
632,فسل,غير صالح وغير كفوء ولا يصلح لشي,بمعنى غير صالح وغير كفوء ولا يصلح لشي.
633,فلت,بمعنى أسرع,بتشديد اللام ،أي بمعنى أسرع.
634,فسو,فساء,أي فساء .
635,يفحق,يزيل قشور الحب,يزيل قشور الحب ،والمثل القائل):إذا شفِت مولى العملْ يفْحق فحق وطير(.
636,فرش,الفراش أو فراش البيت للنوم,وهو الفراش أو فراش البيت للنوم.
637,الفقر,الباب الجانبي في البيت,الباب الجانبي في البيت.
638,الفرخ,باب صغير يكون وسط السدة الكبيرة,باب صغير يكون وسط السدة الكبيرة.
