ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
45,اش,زجر الطيور والحشرات,لفظة لنهر وطرد وتفريق الحشرات أو الحيوانات أو الطيور .
46,ايش,ماذا,لفظة للاستفهام غالبا ،وللتساؤل المتعجب أحيانا )،ايش هذا ؟ ( ما هذا ؟ ،
47,بعره,روث المواشي,روث الماشية وجمعها بعر.
48,برك,مبروك,أي مبروك ،ومن المباركة .
49,بلي,بالذي - بمعنى,أي بالذي يقال) :أيش اسوي بلي قدامي( أي ماذا أسوي بالذي أمامي.
50,بخت,نصيب وحظ,وهو النصيب أو الحظ ،والمثل القائل):أبو العيال ربع بخت( ،والمثل يقال للمرأة التي ترضى بزوج له أولاد فنصيبها وحظها ليس بكامل.
51,يئذن,يقوم بالآذان,أي يقوم بالآذان ،وهو رفع صوت الآذان للإعلام بدخول الصلاة ،والمثل القائل ):يئذِّن عند أصقع(.
52,بواه,بماذا - ماذا,بمعنى بأي شئ أو بماذا ،والواه تعني ماذا ،يقول الشاعر):نكتب بواه صبحت مثل الساعية فوق القِشار(.
53,البغزيز,سمك مملح محفوظ,سمك يملَّح لغرض حفظه ،له رائحة غير مستحبة.
54,بنزر,لفة الغزل الكاملة,لفة الغزل كاملة.
55,بلاش,مجانا,مجاناً.
56,با محقب,العنكبوت,العنكبوت.
57,بزبز,قصبة الرشبة أو الشيشة النارجيلة,قصبة الرشبة أو الشيشة )النارجيلة(.
58,بوفتيله,بندقية قديمة تحشى بارود,نوع من السلاح القديم ،يحشى فيه البارود المتفجر.
59,باقرنقاح,تورح يصيب الأطفال في إحدى الفكين أوكلاهما,تورح يصيب الأطفال في إحدى الفكين أوكلاهما.
60,بطاح,الرملالكثيب,الرمل)الكثيب(٠
61,بغية,من أجود أنواع العسل,من أجود أنواع العسل.
62,با,سوف - حرف تسويف,لفظه بمعنى سوف ،وتكون قبل الأفعال للتسويف فنقول):بانجلس ، بايروحون ،بايفعلون ،بايموتون ..الخ( ،ولفظة بمعنى ربما ،فنقول )با( يقع أي ربما )سيقع( سيكون. وتسبق أسماء كثيرة من العائلات الحضرمية حيث اشتهرت ا كثير من قبائل حضرموت مثلاً نقول ):باطاهر ،باعمر ،باعلي ،بارفعه ،باعيقة ،باعقبة، بانخر ،باأنف ،باأسد ،باعري باراس،باكور( وهذه التسميات إما تسميات لأسماء أناس أو حيوانات أو مخلوقات أو جمادات أو أماكن ..الخ.
